date,open_interest_all,net
2003-08-12,107445,42183
2003-08-19,107708,39590
2003-08-26,103343,42345
2003-09-02,103311,41737
2003-09-09,109498,52810
2003-09-16,115510,51011
2003-09-23,114578,48657
2003-09-30,105542,44925
2003-10-07,89786,22741
2003-10-14,86995,18486
2003-10-21,90599,21928
2003-10-28,93409,28057
2003-11-04,92256,25071
2003-11-11,91880,24115
2003-11-18,109720,37354
2003-11-25,107762,39577
2003-12-02,104077,45142
2003-12-09,103100,47213
2003-12-16,104093,49468
2003-12-22,102585,48970
2003-12-30,102784,51525
2004-01-06,107665,55501
2004-01-13,108724,52612
2004-01-20,107814,47182
2004-01-27,114036,56445
2004-02-03,107432,50556
2004-02-10,112587,50132
2004-02-17,119070,53175
2004-02-24,118149,53699
2004-03-02,113485,54304
2004-03-09,116299,58686
2004-03-16,117659,56261
2004-03-23,119976,56347
2004-03-30,119147,56091
2004-04-06,120507,51737
2004-04-12,119901,51716
2004-04-20,110293,43303
2004-04-27,106516,34631
2004-05-04,93166,33048
2004-05-11,91879,28264
2004-05-18,89376,26183
2004-05-25,88330,23340
2004-06-01,85891,22868
2004-06-08,83809,20275
2004-06-15,85796,21028
2004-06-22,90502,20849
2004-06-29,90221,25448
2004-07-06,82761,23976
2004-07-13,87162,33936
2004-07-20,92456,39999
2004-07-27,91991,35456
2004-08-03,94715,40509
2004-08-10,97251,44344
2004-08-17,96119,43540
2004-08-24,102711,46432
2004-08-31,95230,45571
2004-09-07,87139,34677
2004-09-14,82028,23189
2004-09-21,82327,23840
2004-09-28,83896,27215
2004-10-05,99518,46281
2004-10-12,107869,53453
2004-10-19,111307,55487
2004-10-26,116815,56093
2004-11-02,114494,54332
2004-11-09,123564,57221
2004-11-16,124272,57177
2004-11-23,121720,65758
2004-11-30,116958,67224
2004-12-07,125722,70118
2004-12-14,101771,43225
2004-12-21,98426,37664
2004-12-28,99266,37706
2005-01-04,96882,38350
2005-01-11,98189,33118
2005-01-18,98962,32646
2005-01-25,96891,30226
2005-02-01,95173,30232
2005-02-08,95344,27763
2005-02-15,96899,36974
2005-02-22,102103,42314
2005-03-01,99341,42484
2005-03-08,101960,44739
2005-03-15,102305,44445
2005-03-22,103328,39552
2005-03-29,96568,32971
2005-04-05,98663,34598
2005-04-12,102168,36684
2005-04-19,104305,37636
2005-04-26,111987,40365
2005-05-03,105261,19858
2005-05-10,104114,22511
2005-05-17,102869,24690
2005-05-24,105219,24954
2005-05-31,113358,42801
2005-06-07,121857,57469
2005-06-14,128442,53947
2005-06-21,130474,51291
2005-06-28,124362,46647
2005-07-05,122624,24557
2005-07-12,123279,22860
2005-07-19,128213,21902
2005-07-26,123485,21918
2005-08-02,122020,33403
2005-08-09,123818,29238
2005-08-16,121306,24338
2005-08-23,116131,24677
2005-08-30,120303,11650
2005-09-06,112175,14566
2005-09-13,115435,15509
2005-09-20,117718,33460
2005-09-27,118954,37299
2005-10-04,125742,42782
2005-10-11,134435,51367
2005-10-18,142530,54246
2005-10-25,138960,54121
2005-11-01,137967,51548
2005-11-08,143966,51076
2005-11-15,150342,51722
2005-11-22,149698,60560
2005-11-29,145136,63151
2005-12-06,141571,66730
2005-12-13,137249,62787
2005-12-20,133600,60976
2005-12-27,135028,61193
2006-01-03,131555,59380
2006-01-10,130725,58971
2006-01-17,131701,58847
2006-01-24,131185,59832
2006-01-31,133259,56256
2006-02-07,130754,52788
2006-02-14,127737,50588
2006-02-21,132532,51847
2006-02-28,127839,44622
2006-03-07,132341,51956
2006-03-14,127834,51189
2006-03-21,132347,53901
2006-03-28,134579,52363
2006-04-04,140419,51846
2006-04-11,141906,46139
2006-04-18,140408,42176
2006-04-25,127250,36055
2006-05-02,112421,31211
2006-05-09,110968,29826
2006-05-16,110184,26070
2006-05-23,110443,26241
2006-05-30,109388,26372
2006-06-06,112351,22934
2006-06-13,112993,24468
2006-06-20,112485,22473
2006-06-27,109024,19840
2006-07-03,97874,24001
2006-07-11,99551,24391
2006-07-18,99954,23187
2006-07-25,97539,23822
2006-08-01,98685,24339
2006-08-08,108463,28570
2006-08-15,111358,27741
2006-08-22,114877,29553
2006-08-29,112346,29461
2006-09-05,108132,29820
2006-09-12,101450,22373
2006-09-19,100314,19081
2006-09-26,100272,18467
2006-10-03,98967,19213
2006-10-10,100304,19480
2006-10-17,106890,22407
2006-10-24,109100,26355
2006-10-31,110237,28102
2006-11-07,113697,30317
2006-11-14,117486,35094
2006-11-21,116375,37466
2006-11-28,109864,39044
2006-12-05,106839,41660
2006-12-12,110084,43604
2006-12-19,103358,36786
2006-12-26,101141,34503
2007-01-03,103703,32281
2007-01-09,101420,33632
2007-01-16,101830,32772
2007-01-23,108484,35653
2007-01-30,112320,38997
2007-02-06,116607,41127
2007-02-13,123596,43562
2007-02-20,127032,46428
2007-02-27,125249,54389
2007-03-06,115412,37040
2007-03-13,112728,33284
2007-03-20,113072,31564
2007-03-27,111348,32078
2007-04-03,112120,31660
2007-04-10,118004,33730
2007-04-17,122313,37033
2007-04-24,123627,38416
2007-05-01,109108,31725
2007-05-08,108852,29661
2007-05-15,108698,29756
2007-05-22,108612,25327
2007-05-29,111742,27692
2007-06-05,115097,32481
2007-06-12,119583,31680
2007-06-19,124252,34696
2007-06-26,120288,27852
2007-07-03,117290,24003
2007-07-10,116724,26478
2007-07-17,115546,27940
2007-07-24,119064,32343
2007-07-31,118550,27369
2007-08-07,122787,28940
2007-08-14,122912,26947
2007-08-21,117914,19798
2007-08-28,111791,9662
2007-09-04,107814,9277
2007-09-11,108199,10844
2007-09-18,109750,13209
2007-09-25,116537,24763
2007-10-02,117498,26598
2007-10-09,120478,28249
2007-10-16,124780,28896
2007-10-23,122842,28520
2007-10-30,133518,30489
2007-11-06,150120,34077
2007-11-13,146205,31227
2007-11-20,146852,29548
2007-11-27,144601,30874
2007-12-04,138128,28368
2007-12-11,147922,31020
2007-12-18,148157,26123
2007-12-24,150953,31490
2007-12-31,152888,35128
2008-01-08,168508,41083
2008-01-15,177544,43017
2008-01-22,179362,46588
2008-01-29,183056,46112
2008-02-05,184677,49750
2008-02-12,187309,51990
2008-02-19,189151,53138
2008-02-26,173340,53917
2008-03-04,166625,50617
2008-03-11,162481,51010
2008-03-18,160860,50455
2008-03-25,148918,40038
2008-04-01,145358,41264
2008-04-08,145698,39936
2008-04-15,149199,40537
2008-04-22,153234,41322
2008-04-29,126504,42557
2008-05-06,121057,41179
2008-05-13,122802,40041
2008-05-20,125838,43069
2008-05-27,126583,44838
2008-06-03,123200,41953
2008-06-10,128241,40921
2008-06-17,130931,40022
2008-06-24,128720,39000
2008-07-01,130495,46489
2008-07-08,135835,48138
2008-07-15,143386,49285
2008-07-22,140089,46960
2008-07-29,132854,39844
2008-08-05,133255,37200
2008-08-12,140094,36026
2008-08-19,135028,31564
2008-08-26,125075,27584
2008-09-02,116628,27009
2008-09-09,116403,24750
2008-09-16,112340,23501
2008-09-23,104403,21157
2008-09-30,103812,18336
2008-10-07,99883,17099
2008-10-14,98596,16922
2008-10-21,95873,13641
2008-10-28,95716,15068
2008-11-04,94365,17507
2008-11-11,94494,19626
2008-11-18,91853,19075
2008-11-25,86878,14159
2008-12-02,82434,16053
2008-12-09,83476,16883
2008-12-16,87384,19321
2008-12-22,85219,20240
2008-12-30,85312,19795
2009-01-06,86788,20189
2009-01-13,85916,18356
2009-01-20,86349,19066
2009-01-27,89185,20958
2009-02-03,93813,22415
2009-02-10,96019,24122
2009-02-17,99325,24717
2009-02-24,101629,25207
2009-03-03,93051,26685
2009-03-10,92260,25282
2009-03-17,92796,24415
2009-03-24,93147,22731
2009-03-31,94506,20587
2009-04-07,93101,17641
2009-04-14,94568,16806
2009-04-21,96277,13998
2009-04-28,90687,15719
2009-05-05,89477,20804
2009-05-12,96546,24500
2009-05-19,96079,28225
2009-05-26,98120,28034
2009-06-02,104986,28668
2009-06-09,106447,30884
2009-06-16,103981,29395
2009-06-23,105699,26205
2009-06-30,104594,24778
2009-07-07,100376,24126
2009-07-14,99662,21085
2009-07-21,98269,18540
2009-07-28,97761,21326
2009-08-04,99477,23849
2009-08-11,104790,27810
2009-08-18,103527,27851
2009-08-25,101539,29130
2009-09-01,106671,34429
2009-09-08,116421,40902
2009-09-15,123873,46469
2009-09-22,128184,47234
2009-09-29,128695,47410
2009-10-06,131801,47300
2009-10-13,136015,48275
2009-10-20,135456,48138
2009-10-27,132843,44140
2009-11-03,129240,39798
2009-11-09,141794,37954
2009-11-17,142200,40480
2009-11-24,136162,45648
2009-12-01,131899,45199
2009-12-08,125999,42536
2009-12-15,121787,38677
2009-12-22,122294,39678
2009-12-29,124334,38721
2010-01-05,125391,39499
2010-01-12,128675,44528
2010-01-19,131385,44301
2010-01-26,124895,37069
2010-02-02,122261,30877
2010-02-09,118593,23365
2010-02-16,120166,25378
2010-02-23,117376,27816
2010-03-02,108248,31058
2010-03-09,112130,35165
2010-03-16,114192,34856
2010-03-23,112520,32301
